Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)
38	Spectrogram 1	1	2434.020088690	2434.547726698	307.756	1253.008	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	34.0201	632.812	375.000	1195.312	820.312
39	Spectrogram 1	1	2435.917072956	2436.243706008	307.756	989.217	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	35.9171	585.938	351.562	937.500	585.938
40	Spectrogram 1	1	2437.587926647	2437.914559700	241.809	1626.712	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	37.5879	679.688	281.250	1476.562	1195.312
41	Spectrogram 1	1	2423.015067386	2423.379388867	153.878	1340.938	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	23.0151	585.938	187.500	1265.625	1078.125
42	Spectrogram 1	1	2421.005017832	2421.532655840	219.826	835.339	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	21.0050	539.062	257.812	773.438	515.625
43	Spectrogram 1	1	2425.238684704	2425.653257424	197.843	989.217	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	25.2387	562.500	234.375	937.500	703.125
44	Spectrogram 1	1	2430.314059826	2430.804009405	307.756	1209.043	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	30.3141	632.812	375.000	1125.000	750.000
45	Spectrogram 1	1	2429.221095381	2429.510040005	329.739	1428.869	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	29.2211	726.562	375.000	1359.375	984.375
46	Spectrogram 1	1	2444.170838934	2444.560286035	219.826	1912.486	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	44.1708	726.562	257.812	1781.250	1523.438
47	Spectrogram 1	1	2442.487422433	2442.864306725	285.774	1736.625	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	42.4874	726.562	351.562	1617.188	1265.625
48	Spectrogram 1	1	2440.967322459	2441.356769560	263.791	1780.590	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	40.9673	726.562	304.688	1664.062	1359.375
49	Spectrogram 1	1	2446.206014107	2446.620586827	219.826	1692.660	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	46.2060	679.688	257.812	1546.875	1289.062
50	Spectrogram 1	1	2448.316566138	2448.668324810	219.826	1626.712	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	48.3166	656.250	257.812	1429.688	1171.875
51	Spectrogram 1	1	2449.798977684	2450.251238833	241.809	1516.799	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	49.7990	679.688	281.250	1382.812	1101.562
52	Spectrogram 1	1	2451.168323942	2451.520082614	681.460	1165.077	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	51.1683	890.625	703.125	1125.000	421.875
53	Spectrogram 1	1	2447.273852932	2447.625611604	439.652	1428.869	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	47.2739	750.000	492.188	1359.375	867.188
54	Spectrogram 1	1	2456.231136254	2456.658271784	373.704	1780.590	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	56.2311	796.875	398.438	1664.062	1265.625
55	Spectrogram 1	1	2457.826613087	2458.178371759	263.791	1516.799	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	57.8266	656.250	304.688	1382.812	1078.125
56	Spectrogram 1	1	2402.248742938	2402.663315658	285.774	1692.660	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	2.2487	726.562	351.562	1546.875	1195.312
57	Spectrogram 1	1	2400.263819004	2400.590452056	329.739	1560.764	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	0.2638	750.000	375.000	1453.125	1078.125
58	Spectrogram 1	1	2410.778890730	2411.143212211	351.722	1868.521	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	10.7789	820.312	421.875	1781.250	1359.375
59	Spectrogram 1	1	2414.987431982	2415.452255941	351.722	1670.677	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	14.9874	773.438	398.438	1546.875	1148.438
60	Spectrogram 1	1	2418.329139364	2418.856777372	1450.851	2110.329	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	18.3291	1781.250	1476.562	2085.938	609.375
61	Spectrogram 1	1	2409.070348609	2409.572860998	219.826	2242.225	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	9.0704	796.875	281.250	2039.062	1757.812
62	Spectrogram 1	1	2403.655777625	2405.590450320	747.408	1780.590	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	3.6558	1195.312	773.438	1710.938	937.500
63	Spectrogram 1	1	3601.821607408	3602.286431367	1912.486	3605.145	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	1.8216	2789.062	1968.750	3539.062	1570.312
