Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)	Source	Shape	Pulses
46	Spectrogram 1	1	1244.170800000	1244.560247000	219.826	1912.486	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	44.1708	726.562	257.812	1781.250	1523.438	fish		2
47	Spectrogram 1	1	1242.487400000	1242.864285000	285.774	1736.625	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	42.4874	726.562	351.562	1617.188	1265.625	fish		2
48	Spectrogram 1	1	1240.967300000	1241.356748000	263.791	1780.590	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	40.9673	726.562	304.688	1664.062	1359.375	fish		2
49	Spectrogram 1	1	1246.206000000	1246.620573000	219.826	1692.660	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	46.2060	679.688	257.812	1546.875	1289.062	fish		2
50	Spectrogram 1	1	1248.316600000	1248.668359000	219.826	1626.712	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	48.3166	656.250	257.812	1429.688	1171.875	fish		2
51	Spectrogram 1	1	1249.799000000	1250.251261000	241.809	1516.799	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	49.7990	679.688	281.250	1382.812	1101.562	fish		2
52	Spectrogram 1	1	1251.168300000	1251.520059000	681.460	1165.077	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	51.1683	890.625	703.125	1125.000	421.875	fish		2
53	Spectrogram 1	1	1247.273900000	1247.625659000	439.652	1428.869	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	47.2739	750.000	492.188	1359.375	867.188	fish		2
54	Spectrogram 1	1	1256.231100000	1256.658236000	373.704	1780.590	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	56.2311	796.875	398.438	1664.062	1265.625	fish		2
55	Spectrogram 1	1	1257.826600000	1258.178359000	263.791	1516.799	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	57.8266	656.250	304.688	1382.812	1078.125	fish		2
