Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site	pulse count
552	Spectrogram 1	1	4213.297500000	4213.629041104	0.000	410.300	S1130_048K_MGV_10457639_20250519_164500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_164500.flac	13.2975	187.500	46.875	140.625	210.938	257.812	70.312	210.938	0.6429	0.2143	0.6429	0.7143	0.7857	0.0213	0.1707	green	aquatic	harmonic	MGV	
611	Spectrogram 1	1	4809.749100000	4812.114690577	0.000	161.200	S1130_048K_MGV_10457639_20250519_170000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_170000.flac	9.7491	70.312	23.438	46.875	93.750	140.625	46.875	117.188	0.7636	0.6818	0.7545	0.7727	0.7909	0.0427	0.2560	green	aquatic	harmonic	MGV	
616	Spectrogram 1	1	4812.912200000	4814.489260385	14.700	175.800	S1130_048K_MGV_10457639_20250519_170000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_170000.flac	12.9122	93.750	23.438	46.875	140.625	164.062	93.750	140.625	0.2877	0.0274	0.0274	0.6712	0.9863	1.0027	1.4933	green	aquatic	harmonic	MGV	
633	Spectrogram 1	1	4840.385400000	4841.120166770	0.000	1142.900	S1130_048K_MGV_10457639_20250519_170000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_170000.flac	40.3854	210.938	23.438	117.188	351.562	796.875	234.375	773.438	0.0606	0.0303	0.0606	0.3333	0.8485	0.1920	0.5760	green	aquatic	chain	MGV	4
732	Spectrogram 1	1	5437.768800000	5438.315394792	0.000	791.200	S1130_048K_MGV_10457639_20250519_171500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_171500.flac	37.7688	187.500	23.438	70.312	257.812	562.500	187.500	539.062	0.5600	0.0800	0.3600	0.7200	0.9200	0.1920	0.4480	green	aquatic	harmonic	MGV	
737	Spectrogram 1	1	5407.974900000	5408.360204526	14.700	1040.300	S1130_048K_MGV_10457639_20250519_171500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_171500.flac	7.9749	210.938	23.438	93.750	281.250	679.688	187.500	656.250	0.7059	0.0588	0.4118	0.8824	1.0000	0.1707	0.3413	green	aquatic	harmonic	MGV	
765	Spectrogram 1	1	6003.234800000	6003.996448481	31.082	1118.938	S1130_048K_MGV_10457639_20250519_173000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_173000.flac	3.2348	187.500	46.875	93.750	328.125	773.438	234.375	726.562	0.6000	0.0286	0.2857	0.8857	1.0000	0.4480	0.7253	green	aquatic	chain	MGV	12
770	Spectrogram 1	1	6011.980300000	6012.616500496	15.541	1056.775	S1130_048K_MGV_10457639_20250519_173000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_173000.flac	11.9803	187.500	23.438	93.750	328.125	773.438	234.375	750.000	0.4828	0.0345	0.2069	0.7931	0.9655	0.3627	0.5760	green	aquatic	harmonic	MGV	
774	Spectrogram 1	1	6005.994600000	6006.263417111	0.000	1041.234	S1130_048K_MGV_10457639_20250519_173000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_173000.flac	5.9946	117.188	0.000	46.875	281.250	726.562	234.375	726.562	0.5000	0.0000	0.2500	0.7500	1.0000	0.1280	0.2560	green	aquatic	harmonic	MGV	
775	Spectrogram 1	1	6006.514300000	6006.720393118	31.082	947.989	S1130_048K_MGV_10457639_20250519_173000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_173000.flac	6.5143	117.188	46.875	70.312	257.812	703.125	187.500	656.250	0.4444	0.0000	0.2222	0.7778	1.0000	0.1067	0.1920	green	aquatic	harmonic	MGV	
776	Spectrogram 1	1	6006.774200000	6006.926529696	15.541	1181.101	S1130_048K_MGV_10457639_20250519_173000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_173000.flac	6.7742	140.625	23.438	70.312	257.812	843.750	187.500	820.312	0.5000	0.0000	0.1667	0.8333	1.0000	0.0853	0.1280	green	aquatic	harmonic	MGV	
794	Spectrogram 1	1	6019.600800000	6020.317645629	0.000	1041.234	S1130_048K_MGV_10457639_20250519_173000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_173000.flac	19.6008	164.062	23.438	70.312	304.688	750.000	234.375	726.562	0.4545	0.0303	0.2424	0.8182	0.9697	0.4053	0.6613	green	aquatic	harmonic	MGV	
