Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site
59	Spectrogram 1	1	2243.62812486	2243.741190148	319.8	2771.6	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	45.6281	1101.562	375	585.938	1757.812	2531.25	1171.875	2156.25	0.5	0	0.25	0.75	1	0.0427	0.0853	green	NA	NA	LVR
60	Spectrogram 1	1	2242.7738538	2242.912044707	277.2	3667	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	44.7739	1406.25	304.688	585.938	2343.75	3421.875	1757.812	3117.188	0.6	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
61	Spectrogram 1	1	2242.535160416	2242.673351323	191.9	3539.1	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	44.5352	1218.75	281.25	539.062	2179.688	3257.812	1640.625	2976.562	0.5	0	0.1667	0.8333	1	0.0853	0.128	green	NA	NA	LVR
63	Spectrogram 1	1	2242.158276125	2242.258778602	554.3	2515.7	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	44.1583	1359.375	585.938	843.75	1781.25	2343.75	937.5	1757.812	0.6667	0	0.3333	0.6667	1	0.0213	0.064	green	NA	NA	LVR
64	Spectrogram 1	1	2241.881894311	2243.791441387	234.5	3709.6	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	43.8819	1429.688	304.688	609.375	2601.562	3492.188	1992.188	3187.5	0.4886	0.0455	0.2273	0.7386	0.9432	0.96	1.6853	green	NA	NA	LVR
65	Spectrogram 1	1	2242.020085218	2242.170838934	0	3965.5	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	44.0201	210.938	0	46.875	1382.812	3375	1335.938	3375	0.5	0	0.1667	0.8333	1	0.0853	0.128	green	NA	NA	LVR
69	Spectrogram 1	1	2851.618071835	2851.781388361	42.6	1279.2	S1130_048K_LVR_10458035_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_154500.flac	53.6181	281.25	46.875	117.188	656.25	1148.438	539.062	1101.562	0.5714	0	0.2857	0.8571	1	0.0853	0.1493	green	NA	NA	LVR
70	Spectrogram 1	1	2822.723609506	2822.861800413	21.3	1279.2	S1130_048K_LVR_10458035_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_154500.flac	24.7236	210.938	23.438	46.875	492.188	1148.438	445.312	1125	0.6	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
71	Spectrogram 1	1	2812.309040258	2812.510045213	21.3	703.6	S1130_048K_LVR_10458035_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_154500.flac	14.309	117.188	23.438	46.875	304.688	585.938	257.812	562.5	0.5556	0	0.2222	0.7778	1	0.1067	0.192	green	NA	NA	LVR
72	Spectrogram 1	1	2813.48994437	2813.665823706	21.3	639.6	S1130_048K_LVR_10458035_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_154500.flac	15.4899	117.188	23.438	46.875	281.25	515.625	234.375	492.188	0.5714	0	0.2857	0.8571	1	0.0853	0.1493	green	NA	NA	LVR
75	Spectrogram 1	1	2844.344205014	2844.469833111	21.3	618.3	S1130_048K_LVR_10458035_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_154500.flac	46.3442	140.625	23.438	46.875	281.25	492.188	234.375	468.75	0.6	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
76	Spectrogram 1	1	3443.816567006	3443.979883532	21.3	1897.5	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	45.8166	304.688	23.438	117.188	750	1593.75	632.812	1570.312	0.4286	0	0.1429	0.7143	1	0.0853	0.1493	green	NA	NA	LVR
77	Spectrogram 1	1	3452.371840417	3452.497468514	21.3	2025.4	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	54.3718	257.812	23.438	70.312	796.875	1734.375	726.562	1710.938	0.4	0	0.2	0.6	1	0.0427	0.1067	green	NA	NA	LVR
78	Spectrogram 1	1	3452.497468514	3452.635659421	21.3	1940.1	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	54.4975	328.125	23.438	93.75	750	1664.062	656.25	1640.625	0.5	0	0.1667	0.6667	1	0.064	0.128	green	NA	NA	LVR
79	Spectrogram 1	1	3452.346714798	3452.648222231	42.6	2046.7	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	54.3467	398.438	46.875	117.188	890.625	1757.812	773.438	1710.938	0.4615	0	0.1538	0.7692	1	0.1707	0.2773	green	NA	NA	LVR
81	Spectrogram 1	1	3427.773859009	3427.899487106	42.6	1620.3	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	29.7739	375	46.875	140.625	773.438	1406.25	632.812	1359.375	0.4	0	0.2	0.6	1	0.0427	0.1067	green	NA	NA	LVR
82	Spectrogram 1	1	3431.505013492	3431.618078779	21.3	1790.9	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	33.505	234.375	23.438	70.312	726.562	1453.125	656.25	1429.688	0.4	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
84	Spectrogram 1	1	3411.881904728	3412.007532825	42.6	1748.2	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	13.8819	398.438	46.875	140.625	796.875	1453.125	656.25	1406.25	0.4	0	0.2	0.6	1	0.0427	0.1067	green	NA	NA	LVR
86	Spectrogram 1	1	3404.545223858	3404.658289145	127.9	1492.4	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	6.5452	515.625	164.062	210.938	843.75	1335.938	632.812	1171.875	0.5	0	0.25	0.75	1	0.0427	0.0853	green	NA	NA	LVR
87	Spectrogram 1	1	3404.608037907	3404.721103194	21.3	597	S1130_048K_LVR_10458035_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_160000.flac	6.608	140.625	23.438	46.875	257.812	515.625	210.938	492.188	0.5	0	0.25	0.75	1	0.0427	0.0853	green	NA	NA	LVR
