Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
46	Spectrogram 1	1	662626.474775603	662628.849326750	0.000	776.600	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	34.6505
47	Spectrogram 1	1	662628.894129602	662629.216710135	0.000	688.600	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	37.0699
48	Spectrogram 1	1	662629.619935801	662630.408465993	0.000	556.800	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	37.7957
49	Spectrogram 1	1	662632.368696002	662632.825685091	0.000	586.100	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	40.5444
50	Spectrogram 1	1	662632.843606232	662633.560451861	0.000	761.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	41.0194
51	Spectrogram 1	1	662633.856150683	662634.259376349	0.000	674.000	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	42.0319
52	Spectrogram 1	1	662634.331060912	662634.716365438	0.000	498.200	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	42.5068
53	Spectrogram 1	1	662634.859734564	662635.146472815	0.000	424.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	43.0355
54	Spectrogram 1	1	662635.567619623	662636.159017267	0.000	717.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	43.7434
55	Spectrogram 1	1	662636.239662400	662636.490558370	0.000	527.500	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	44.4154
